เดือน,สินค้า,จำนวน,ราคาต่อหน่วย,ยอดขายรวม
มกราคม,กาแฟดำ,1200,60,72000
มกราคม,ชาเขียว,800,55,44000
มกราคม,ลาเต้,950,75,71250
กุมภาพันธ์,กาแฟดำ,1350,60,81000
กุมภาพันธ์,ชาเขียว,900,55,49500
กุมภาพันธ์,ลาเต้,1100,75,82500
มีนาคม,กาแฟดำ,1400,65,91000
มีนาคม,ชาเขียว,950,55,52250
มีนาคม,ลาเต้,1200,75,90000
เมษายน,กาแฟดำ,1250,65,81250
เมษายน,ชาเขียว,850,55,46750
เมษายน,ลาเต้,1050,75,78750
พฤษภาคม,กาแฟดำ,1500,65,97500
พฤษภาคม,ชาเขียว,1000,55,55000
พฤษภาคม,ลาเต้,1300,75,97500
มิถุนายน,กาแฟดำ,1600,65,104000
มิถุนายน,ชาเขียว,1100,55,60500
มิถุนายน,ลาเต้,1400,75,105000
